iter	RMSE
0	22.67070452
1	22.26863277
2	21.88951084
3	21.52592392
4	21.16377088
5	20.83365366
6	20.45635221
7	20.05324426
8	19.73589303
9	19.352184
10	19.01306714
11	18.70363684
12	18.42740026
13	18.18460151
14	17.89530148
15	17.61839535
16	17.29738063
17	17.03628264
18	16.78633872
19	16.57305853
20	16.31043822
21	16.0539596
22	15.79298766
23	15.55857249
24	15.3812447
25	15.17330531
26	14.94822855
27	14.75914176
28	14.56450005
29	14.38342838
30	14.19971437
31	14.02118613
32	13.86592064
33	13.68259309
34	13.52346756
35	13.37952792
36	13.24617448
37	13.09756591
38	12.98256653
39	12.84502528
40	12.70984681
41	12.57934515
42	12.44733076
43	12.32760251
44	12.22776842
45	12.12829763
46	12.00979766
47	11.88910421
48	11.79676221
49	11.7164353
50	11.61958272
51	11.52491009
52	11.45302039
53	11.37823192
54	11.29565789
55	11.21468827
56	11.12542329
57	11.02872868
58	10.94337543
59	10.86871408
60	10.78172387
61	10.70776092
62	10.61983358
63	10.55050073
64	10.48640855
65	10.42192867
66	10.35571184
67	10.2941099
68	10.24816089
69	10.18235078
70	10.13556488
71	10.08276647
72	10.03104006
73	9.985969588
74	9.928660454
75	9.883958425
76	9.842851104
77	9.798255029
78	9.739650932
79	9.693244023
80	9.653495502
81	9.60657007
82	9.564200833
83	9.518126471
84	9.457332944
85	9.414024045
86	9.385174729
87	9.332331849
88	9.287037212
89	9.253239751
90	9.214601595
91	9.171069828
92	9.139957427
93	9.102677546
94	9.075067336
95	9.039671461
96	9.009948832
97	8.976153143
98	8.95900705
99	8.932055544
100	8.905619486
101	8.877902995
102	8.836577851
103	8.811812738
104	8.78998157
105	8.764510046
106	8.73972407
107	8.70620584
108	8.678991422
109	8.655874095
110	8.632342626
111	8.603304603
112	8.584654293
113	8.554348987
114	8.535288204
115	8.489501894
116	8.469267454
117	8.444296906
118	8.425355012
119	8.405727594
120	8.383455034
121	8.36328368
122	8.336077636
123	8.317885186
124	8.291744128
125	8.27994932
126	8.260166009
127	8.243350821
128	8.218438946
129	8.212075611
130	8.197813098
131	8.181766619
132	8.167604645
133	8.151440772
134	8.112387972
135	8.095008028
136	8.082031647
137	8.038167363
138	8.007893394
139	7.981613433
140	7.962253059
141	7.931618441
142	7.909226416
143	7.885025686
144	7.868841286
145	7.849235735
146	7.824521404
147	7.813819562
148	7.79607473
149	7.780905926
150	7.772759444
151	7.756699446
152	7.747516685
153	7.724511089
154	7.712811563
155	7.697871407
156	7.688104967
157	7.67317499
158	7.63919254
159	7.593086138
160	7.572252971
161	7.55293139
162	7.515972283
163	7.500273963
164	7.489376574
165	7.4598946
166	7.439309626
167	7.411114764
168	7.386479252
169	7.370296097
170	7.348449351
171	7.32882412
172	7.314183471
173	7.290853972
174	7.273977876
175	7.260396247
176	7.248662289
177	7.227011679
178	7.208141855
179	7.197454696
180	7.187173085
181	7.172044638
182	7.154832266
183	7.141921352
184	7.124527072
185	7.105485336
186	7.0972608
187	7.073661408
188	7.064404259
189	7.05277078
190	7.029858446
191	7.012633209
192	6.995626103
193	6.972633019
194	6.959681288
195	6.946509316
196	6.933095525
197	6.918730421
198	6.90763651
199	6.895237569
200	6.875635353
201	6.859047383
202	6.843441731
203	6.825219766
204	6.811981004
205	6.783899874
206	6.770731259
207	6.754323662
208	6.736545862
209	6.724487142
210	6.700760439
211	6.686361934
212	6.659038903
213	6.639232599
214	6.623460398
215	6.60250705
216	6.584334712
217	6.572520822
218	6.553484659
219	6.542381637
220	6.521075689
221	6.501234071
222	6.485518042
223	6.464381305
224	6.456536192
225	6.437428381
226	6.424025132
227	6.412781725
228	6.401382352
229	6.382485531
230	6.371301726
231	6.355598252
232	6.337620264
233	6.319457093
234	6.307174128
235	6.289233831
236	6.275756542
237	6.260598936
238	6.252958791
239	6.24454016
240	6.226443061
241	6.209239227
242	6.196525448
243	6.180882862
244	6.164249309
245	6.146256019
246	6.127092029
247	6.109848983
248	6.092634751
249	6.077220014
250	6.067704839
251	6.052255979
252	6.036919699
253	6.022063134
254	6.01067778
255	5.996307497
256	5.981985888
257	5.971128433
258	5.963705586
259	5.950616088
260	5.934190539
261	5.923944995
262	5.913618304
263	5.890545729
264	5.878477761
265	5.861351193
266	5.846254105
267	5.829632929
268	5.805029576
269	5.789084188
270	5.774059593
271	5.762014736
272	5.746037675
273	5.738248753
274	5.728021206
275	5.715405132
276	5.701188626
277	5.687793206
278	5.681581875
279	5.678357324
280	5.666356363
281	5.643285195
282	5.637775603
283	5.62811378
284	5.61355404
285	5.60356245
286	5.593719701
287	5.581906333
288	5.570732524
289	5.557090603
290	5.548099733
291	5.534788423
292	5.517299342
293	5.506130748
294	5.495590861
295	5.485105561
296	5.473580085
297	5.460642586
298	5.451612675
299	5.439602009
300	5.429549049
301	5.420978599
302	5.40996654
303	5.400026599
304	5.385792315
305	5.374768407
306	5.366735779
307	5.34969093
308	5.342918523
309	5.328536807
310	5.312106278
311	5.305405368
312	5.293295431
313	5.289585474
314	5.276379159
315	5.265977519
316	5.259076919
317	5.244197985
318	5.232395547
319	5.221425522
320	5.211373037
321	5.196298279
322	5.181454128
323	5.172826478
324	5.164108786
325	5.152143274
326	5.143533247
327	5.130137146
328	5.12673082
329	5.115714834
330	5.110958028
331	5.093479544
332	5.074127692
333	5.0654615
334	5.059998388
335	5.044607014
336	5.039119378
337	5.032464876
338	5.018876765
339	5.011428242
340	5.000019355
341	4.991920653
342	4.978675771
343	4.967819164
344	4.962880774
345	4.959763133
346	4.949335488
347	4.939313648
348	4.932244533
349	4.919589617
350	4.912653138
351	4.90472014
352	4.893734411
353	4.883065948
354	4.875645674
355	4.866179581
356	4.856095329
357	4.846700066
358	4.842828111
359	4.832065407
360	4.821620756
361	4.81305933
362	4.805963117
363	4.795370102
364	4.785404961
365	4.773699626
366	4.76472397
367	4.753347909
368	4.740863816
369	4.729422162
370	4.726712427
371	4.716157332
372	4.707461763
373	4.697854488
374	4.691744399
375	4.686733497
376	4.684139293
377	4.67456604
378	4.667684835
379	4.644883072
380	4.637181742
381	4.635283385
382	4.625962366
383	4.619871689
384	4.614091173
385	4.605525793
386	4.592235249
387	4.58408433
388	4.573233133
389	4.565706486
390	4.552597516
391	4.544056767
392	4.533935446
393	4.519880718
394	4.512825522
395	4.505603397
396	4.496975127
397	4.484347284
398	4.475253296
399	4.470596549
400	4.455494191
401	4.449209447
402	4.441287778
403	4.434098088
404	4.424197038
405	4.418855173
406	4.408898612
407	4.387872309
408	4.36747893
409	4.34659678
410	4.336559269
411	4.331467458
412	4.322927514
413	4.316672821
414	4.310922636
415	4.300667897
416	4.280589321
417	4.271932825
418	4.263935827
419	4.2574294
420	4.250716245
421	4.23453078
422	4.228115412
423	4.221454163
424	4.217690314
425	4.212830224
426	4.204946602
427	4.186630962
428	4.180643663
429	4.171318427
430	4.160368433
431	4.156004053
432	4.149833424
433	4.141524474
434	4.131792654
435	4.113372039
436	4.107997459
437	4.097296929
438	4.088991074
439	4.082913418
440	4.079628922
441	4.072871529
442	4.069486401
443	4.059614594
444	4.056420684
445	4.049165051
446	4.044497081
447	4.036055822
448	4.02746599
449	4.011512134
450	4.007544441
451	4.005602763
452	4.000954816
453	3.99349843
454	3.980927639
455	3.974734327
456	3.967556207
457	3.958718537
458	3.941906384
459	3.925269742
460	3.915520071
461	3.906858481
462	3.894528474
463	3.887613099
464	3.876878132
465	3.873895516
466	3.867768883
467	3.862284477
468	3.857020511
469	3.846788448
470	3.840864522
471	3.834453941
472	3.819906813
473	3.814037305
474	3.810077444
475	3.806222595
476	3.801022913
477	3.797655667
478	3.792035389
479	3.783131593
480	3.776172191
481	3.771114559
482	3.762507947
483	3.756437829
484	3.749038646
485	3.7421296
486	3.734599745
487	3.727901159
488	3.719817136
489	3.717196112
490	3.7111727
491	3.705481589
492	3.690457427
493	3.683654102
494	3.67653935
495	3.671085884
496	3.662436156
497	3.656681377
498	3.652620616
499	3.645555141
500	3.634016501
501	3.630358471
502	3.624635391
503	3.616394968
504	3.609876664
505	3.605374294
506	3.598063655
507	3.590653735
508	3.584869501
509	3.582526237
510	3.580853229
511	3.576361853
512	3.574714495
513	3.569117215
514	3.565864793
515	3.563448788
516	3.558736235
517	3.555473472
518	3.549431246
519	3.541595626
520	3.537327619
521	3.526870566
522	3.51283354
523	3.500192881
524	3.491991514
525	3.48714415
526	3.485882511
527	3.480835102
528	3.470239039
529	3.464170862
530	3.459067735
531	3.454778044
532	3.448693176
533	3.442975049
534	3.436901447
535	3.429077171
536	3.417724661
537	3.414725881
538	3.402049609
539	3.396490246
540	3.38394977
541	3.376590281
542	3.374769655
543	3.369563053
544	3.358319971
545	3.354372659
546	3.349207792
547	3.343357242
548	3.335021852
549	3.330399023
550	3.32482741
551	3.318798928
552	3.312820512
553	3.305270861
554	3.30006004
555	3.294216798
556	3.291703211
557	3.288421273
