iter	Passed	Remaining
0	0	427
1	0	372
2	1	333
3	1	287
4	1	265
5	1	245
6	1	230
7	1	225
8	1	215
9	2	200
10	2	202
11	2	207
12	2	209
13	3	229
14	3	227
15	3	222
16	3	221
17	4	218
18	4	213
19	4	210
20	4	208
21	4	204
22	4	202
23	4	200
24	5	197
25	5	193
26	5	193
27	5	193
28	5	191
29	5	191
30	6	192
31	6	191
32	6	189
33	6	186
34	6	183
35	6	183
36	7	184
37	7	184
38	7	186
39	7	185
40	7	183
41	7	182
42	8	180
43	8	182
44	8	182
45	8	182
46	9	182
47	9	183
48	9	185
49	9	185
50	10	187
51	10	187
52	10	191
53	10	189
54	11	189
55	11	188
56	11	186
57	11	187
58	11	187
59	11	187
60	12	185
61	12	185
62	12	185
63	12	187
64	13	191
65	13	191
66	13	191
67	13	191
68	14	190
69	14	190
70	14	188
71	14	190
72	15	190
73	15	190
74	15	190
75	15	191
76	15	191
77	16	191
78	16	191
79	16	191
80	16	191
81	17	192
82	17	191
83	17	192
84	17	192
85	18	192
86	18	192
87	18	192
88	18	191
89	18	190
90	19	190
91	19	190
92	19	189
93	19	188
94	19	187
95	19	187
96	20	188
97	20	187
98	20	186
99	20	186
100	20	185
101	21	184
102	21	184
103	21	183
104	21	183
105	21	182
106	21	182
107	22	181
108	22	181
109	22	181
110	22	180
111	22	180
112	22	179
113	23	179
114	23	178
115	23	178
116	23	178
117	23	178
118	23	177
119	24	177
120	24	177
121	24	176
122	24	175
123	24	175
124	24	174
125	25	175
126	25	175
127	25	175
128	26	175
129	26	174
130	26	174
131	26	174
132	26	174
133	27	174
134	27	174
135	27	174
136	27	174
137	27	174
138	28	174
139	28	174
140	28	174
141	28	174
142	29	173
143	29	173
144	29	173
145	29	174
146	30	175
147	30	175
148	30	175
149	30	174
150	31	174
151	31	175
152	31	175
153	31	175
154	32	174
155	32	174
156	32	173
157	32	173
158	32	173
159	32	173
160	33	173
161	33	172
162	33	172
163	33	171
164	33	171
165	34	171
166	34	171
167	34	171
168	34	171
169	35	171
170	35	171
171	35	170
172	35	170
173	35	170
174	36	169
175	36	169
176	36	169
177	36	169
178	36	168
179	36	168
180	37	167
181	37	167
182	37	167
183	37	167
184	38	167
185	38	167
186	38	167
187	38	167
188	38	166
189	39	166
190	39	165
191	39	165
192	39	164
193	39	164
194	39	163
195	39	163
196	40	163
197	40	163
198	40	162
199	40	161
200	40	161
201	40	161
202	41	161
203	41	161
204	41	161
205	41	161
206	41	160
207	42	160
208	42	160
209	42	160
210	42	159
211	42	159
212	43	159
213	43	158
214	43	158
215	43	158
216	43	158
217	44	158
218	44	157
219	44	157
220	44	156
221	44	156
222	44	155
223	44	155
224	45	155
225	45	155
226	45	154
227	45	154
228	45	154
229	46	154
230	46	154
231	46	153
232	46	153
233	46	152
234	46	152
235	46	151
236	47	151
237	47	151
238	47	150
239	47	150
240	47	150
241	47	150
242	48	149
243	48	149
244	48	149
245	48	149
246	48	148
247	49	148
248	49	148
249	49	148
250	49	148
251	49	147
252	50	147
253	50	147
254	50	147
255	50	147
256	50	146
257	50	146
258	51	146
259	51	146
260	51	145
261	51	145
262	51	145
263	52	145
264	52	145
265	52	145
266	52	145
267	53	144
268	53	144
269	53	144
270	53	144
271	53	143
272	53	143
273	54	143
274	54	142
275	54	142
276	54	143
277	54	142
278	55	142
279	55	142
280	55	142
281	55	141
282	55	141
283	56	141
284	56	141
285	56	141
286	56	140
287	56	140
288	57	140
289	57	140
290	57	140
291	57	140
292	57	139
293	58	139
294	58	139
295	58	139
296	58	139
297	58	138
298	59	138
299	59	138
300	59	138
301	59	137
302	59	137
303	59	137
304	60	137
305	60	136
306	60	136
307	60	136
308	61	136
309	61	136
310	61	136
311	61	135
312	61	135
313	61	135
314	61	134
315	62	134
316	62	134
317	62	134
318	62	133
319	62	133
320	62	132
321	62	132
322	63	132
323	63	132
324	63	131
325	63	131
326	63	131
327	64	131
328	64	131
329	64	130
330	64	130
331	64	130
332	64	129
333	65	129
334	65	129
335	65	129
336	65	129
337	65	128
338	66	128
339	66	128
340	66	128
341	66	128
342	66	127
343	66	127
344	67	127
345	67	127
346	67	126
347	67	126
348	67	126
349	67	125
350	68	125
351	68	125
352	68	125
353	68	125
354	68	124
355	68	124
356	68	124
357	69	123
358	69	123
359	69	123
360	69	123
361	69	123
362	70	122
363	70	122
364	70	122
365	70	122
366	70	122
367	70	121
368	71	121
369	71	121
370	71	121
371	71	121
372	71	120
373	72	120
374	72	120
375	72	120
376	72	120
377	72	119
378	73	119
379	73	119
380	73	119
381	73	119
382	73	118
383	74	118
384	74	118
385	74	118
386	74	118
387	74	117
388	74	117
389	75	117
390	75	117
391	75	116
392	75	116
393	75	116
394	75	116
395	75	115
396	76	115
397	76	115
398	76	115
399	76	115
400	76	114
401	77	114
402	77	114
403	77	114
404	77	113
405	77	113
406	77	113
407	77	113
408	78	112
409	78	112
410	78	112
411	78	112
412	78	111
413	78	111
414	79	111
415	79	111
416	79	111
417	79	110
418	79	110
419	80	110
420	80	110
421	80	110
422	80	109
423	80	109
424	80	109
425	81	109
426	81	108
427	81	108
428	81	108
429	81	108
430	81	108
431	82	107
432	82	107
433	82	107
434	82	107
435	82	107
436	83	106
437	83	106
438	83	106
439	83	106
440	83	106
441	83	105
442	84	105
443	84	105
444	84	105
445	84	105
446	84	104
447	84	104
448	85	104
449	85	104
450	85	104
451	85	103
452	85	103
453	85	103
454	86	103
455	86	102
456	87	103
457	87	103
458	87	103
459	87	103
460	88	103
461	88	102
462	88	102
463	88	102
464	88	102
465	88	101
466	88	101
467	89	101
468	89	100
469	89	100
470	89	100
471	89	100
472	89	99
473	90	100
474	90	100
475	90	99
476	90	99
477	90	99
478	91	99
479	91	99
480	91	99
481	92	99
482	92	99
483	92	99
484	93	98
485	94	100
486	94	99
487	94	99
488	95	99
489	95	99
490	95	98
491	95	98
492	95	98
493	95	97
494	95	97
495	95	97
496	95	97
497	96	96
498	96	97
499	97	97
500	97	96
501	97	96
502	97	96
503	97	96
504	97	95
505	97	95
506	98	95
507	98	95
508	98	95
509	98	95
510	99	94
511	99	94
512	99	94
513	99	94
514	99	93
515	99	93
516	100	93
517	100	93
518	100	93
519	100	92
520	100	92
521	100	92
522	101	92
523	101	92
524	101	91
525	101	91
526	101	91
527	101	91
528	101	90
529	102	90
530	102	90
531	102	89
532	102	89
533	102	89
534	102	89
535	102	88
536	102	88
537	103	88
538	103	88
539	103	88
540	104	88
541	104	88
542	104	88
543	104	87
